Area Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
E07000153,Kettering,15843,17109,17747,18514,17855,19437,19008,18762,21151,21469,22533,22034,22525,24751,23026,24650,25935
E07000154,Northampton,17669,18885,20160,21329,20948,22206,22068,23043,23571,24344,25074,24051,25702,26124,27019,25003,24455
E07000155,South Northamptonshire,17785,17981,19894,20700,23899,23013,22043,23223,24999,27312,24626,25871,26870,23050,26060,28057,#
E07000156,Wellingborough,16636,18694,19255,18520,20571,20727,21073,21419,21269,21128,21978,22817,23656,22435,22294,22406,21993
E07000163,Craven,14927,15495,16571,18089,19608,19868,20129,20277,20426,24205,22138,22113,21845,22527,23359,24158,22757
E07000164,Hambleton,16112,16413,16912,17246,17951,19176,19694,20983,22878,22844,23659,23425,23689,25348,22677,23748,23831
E07000165,Harrogate,15882,17155,17620,18078,19071,19848,21717,21409,22249,22160,24503,24029,23501,22180,24674,24597,23767
E07000166,Richmondshire,15458,15793,15619,15446,15102,17889,18459,18329,23622,22550,21478,19206,19655,24303,25611,25459,22823
E07000167,Ryedale,14487,15065,14975,16126,16396,16482,16536,18088,18721,20311,20277,20277,21040,19599,21176,21475,22956
E07000168,Scarborough,15061,15015,16988,16305,18445,18925,18623,18322,19903,21006,22795,23221,23068,22541,21822,23864,25750
E07000169,Selby,16709,17313,19490,21310,20627,22677,22380,22489,23366,27492,27998,27722,27446,26771,26977,28000,27983
E07000170,Ashfield,15124,16202,17600,18091,18288,18703,20138,20855,21246,21637,22677,23836,22039,22418,21858,22754,22372
E07000171,Bassetlaw,15667,16489,17455,16563,19225,19863,19677,20185,20494,20810,23051,21813,22231,23343,23804,23239,22028
E07000172,Broxtowe,16981,17355,18645,18544,21937,21340,22888,23700,24331,24497,24199,22808,23143,22698,24076,25284,#
E07000173,Gedling,16199,17658,17844,19781,19266,21131,23965,21746,26770,24595,25950,23774,19794,27070,29577,29868,23309
E07000174,Mansfield,12962,14066,15536,15503,16029,17513,17794,19837,20045,21610,21677,20916,20493,19682,20461,20781,20278
E07000175,Newark and Sherwood,13476,15067,16677,19306,18173,18535,18316,20830,21374,21919,21520,20437,21452,22038,23105,23102,#
E07000176,Rushcliffe,19755,19523,19671,22437,23167,22850,25076,24447,23818,25669,25649,27619,25698,24639,27053,28763,27528
E07000177,Cherwell,18314,20356,17677,21215,22232,22550,22905,21609,22199,23708,26031,27246,26876,26891,26983,27075,28595
E07000178,Oxford,19025,20213,21960,21343,22635,24358,25679,26154,26710,27584,27863,28945,29305,28982,29424,30475,31271
E07000179,South Oxfordshire,18615,19339,19804,23096,25911,25648,25374,24845,27579,27907,26786,26408,26453,27387,26531,28220,30270
E07000180,Vale of White Horse,20478,21543,23723,23922,24687,26169,26627,27098,31564,29649,30304,30523,34065,33066,33341,32605,34000
E07000181,West Oxfordshire,20314,19265,21748,22524,22103,25081,23173,22986,23604,24390,25559,25262,25730,26720,26172,27145,28119
E07000187,Mendip,16406,16499,16582,17531,17810,18249,20096,20054,21466,20847,21115,22666,23624,22223,23070,21674,21601
E07000188,Sedgemoor,16008,16201,16928,18439,16994,19619,19751,20946,20466,20702,21643,22028,21213,22248,22361,22856,#
E07000189,South Somerset,17114,17994,19939,19545,19870,19597,21057,21085,21508,21896,22740,22351,24240,24869,24964,25307,25012
E07000190,Taunton Deane,16503,16270,17576,19009,17444,19768,20841,21495,22740,22707,23833,24164,22305,23069,24126,24604,26338
E07000191,West Somerset,#,#,#,#,#,#,#,#,#,#,#,#,#,#,33464,#,#
E07000192,Cannock Chase,17035,18450,17042,19029,18468,18935,19780,19926,20363,23642,21914,22491,22037,22273,24643,23296,23893
E07000193,East Staffordshire,15003,17956,18600,19590,19254,21814,20801,21211,21681,23236,22446,22679,24598,24843,26975,25785,26551
E07000194,Lichfield,17532,16915,17647,18107,19294,21446,21770,22048,19713,23067,24491,25290,24909,22592,25431,25796,26161
E07000195,Newcastle-under-Lyme,15140,16214,16579,16814,17516,18720,19374,19000,20287,21574,20901,20424,20516,21258,23261,22878,20970
E07000196,South Staffordshire,17326,18104,17193,17715,18579,21607,22800,23994,22182,23819,24041,23819,22389,23724,25060,24071,#
E07000197,Stafford,15870,17339,19891,19770,19316,20104,21665,22113,22520,22995,25360,24845,25562,24925,27255,26638,25441
E07000198,Staffordshire Moorlands,15899,17366,18461,18269,19635,18330,21491,21200,21561,23153,22408,22444,22530,26047,25772,27124,21042
E07000199,Tamworth,16637,16988,17023,18051,19953,19337,21312,21668,22240,22813,21512,21533,21853,22464,22096,23038,22843
E07000200,Babergh,16051,17502,18228,17606,17889,19584,19659,21973,23491,23278,23065,22341,23691,23507,21324,23583,23797
E07000201,Forest Heath,14353,16239,17086,17969,18993,20545,19292,19091,20167,20435,20704,22419,25864,24828,23792,22780,#
E07000202,Ipswich,15393,16427,18093,18317,18619,19628,20400,22278,22798,24995,23468,23016,24241,24633,24687,26219,25754
E07000203,Mid Suffolk,15716,15254,16808,18781,18040,19629,19524,20518,20525,21548,22143,21260,22786,22068,23059,24051,27621
